,Unnamed: 0,station,lat,lon,altitude,magx,magy,magz,field,mag_abs_std,time,unix_time,mag_count,student_id_list,x,y,times,z_dem,field_alt,anomaly,name
40,40,40.0,50.84570167,6.268391667,157.4851398,19.44864949,-2.651341844,-44.22100656,48383.16422,0.303977741,6976.886,1657365710.0,70.0,428426.0,307703.81393147307,5636222.363345332,48110.0,160.44,48383.08379863407,-409.1287549999979,428426
41,41,41.0,50.84564667,6.268505,156.0849331,19.30824991,1.298785816,-44.5600817,48582.249670000005,0.34769244,7084.13,1657365817.0,70.0,428426.0,307711.564756406,5636215.953576178,48217.0,160.93,48582.15770849287,-210.04330499999196,428426
42,42,42.0,50.84555,6.26858,160.4846502,19.43946092,0.71600506,-44.83259174,48872.43549,0.281905089,7212.324,1657365945.0,70.0,428426.0,307716.44610352017,5636205.0109624835,48345.0,160.33,48872.356786766526,80.14251500000682,428426
43,43,43.0,50.845555,6.268723333,160.2845694,18.76086622,-3.43061535,-44.78222624,48675.839609999995,0.30148765,7347.416,1657366080.0,70.0,428426.0,307726.55532272963,5636205.193614561,48480.0,160.16,48675.76511976867,-116.45336500000121,428426
44,44,44.0,50.84557333,6.268823333,160.3845491,19.19416362,-2.033522429,-45.02390006,48988.16643,0.355491695,7507.493,1657366240.0,70.0,428426.0,307733.66931943863,5636206.971079381,48640.0,159.75,48988.10091932244,195.87345500000083,428426
45,45,45.0,50.84635667,6.267963333,157.7870053,19.66977444,1.977609542,-43.83405925,48087.34736,0.315701842,180.519,1657367824.0,70.0,428426.0,307676.3598856237,5636296.298676703,50224.0,158.17,48087.318829843905,-704.9456149999969,428426
46,46,46.0,50.84632,6.267931667,157.586937,20.08504178,0.885493408,-44.07101876,48441.45551,0.338318529,261.751,1657367905.0,70.0,428426.0,307673.9802167508,5636292.304355225,50305.0,158.27,48441.424488780955,-350.8374649999969,428426
47,47,47.0,50.84625667,6.26786,157.7868298,20.09839456,-0.780606272,-43.8159783,48213.75536,0.325983593,306.858,1657367950.0,70.0,428426.0,307668.67539137567,5636285.450289419,50350.0,158.39,48213.72176029786,-578.5376149999938,428426
48,48,48.0,50.84620667,6.267798333,159.8867486,20.14534168,1.292120998,-43.72803334,48163.96309999999,0.348557504,363.647,1657368007.0,70.0,428426.0,307664.12924632855,5636280.052148038,50407.0,158.57,48163.92545276973,-628.3298750000031,428426
49,49,49.0,50.84616333,6.26774,158.6866813,20.08581758,-0.233137313,-43.94451348,48319.146570000004,0.315876294,411.262,1657368054.0,70.0,428426.0,307659.84515755373,5636275.385753459,50454.0,158.74,48319.10493361182,-473.1464049999922,428426
50,50,50.0,50.846105,6.267683333,157.1865766,19.74984875,-1.074560208,-44.00725632,48249.69243,0.340456292,447.046,1657368090.0,70.0,428426.0,307655.6166488738,5636269.04850541,50490.0,158.81,48249.64926310164,-542.6005449999939,428426
51,51,51.0,50.846045,6.267641667,158.0864581,19.73903711,2.090204154,-44.00057111,48272.25979,0.266448265,493.594,1657368137.0,70.0,428426.0,307652.4371103338,5636262.486522431,50537.0,158.89,48272.21478450899,-520.0331850000002,428426
52,52,52.0,50.84599,6.267585,157.0863615,18.28817861,-3.553820504,-44.11757104,47900.89335,0.283631499,603.39,1657368247.0,70.0,428426.0,307648.2222846665,5636256.519493657,50647.0,158.94,47900.84756298538,-891.3996249999982,428426
53,53,53.0,50.84591833,6.267491667,157.2862482,20.01603434,0.638192257,-43.94928687,48303.240529999995,0.329606334,663.756,1657368307.0,70.0,428426.0,307641.3581026536,5636248.7946907,50707.0,159.07,48303.19140159352,-489.05244500000117,428426
54,54,54.0,50.845855,6.26745,158.8861217,19.69869625,-1.006866511,-44.03848207,48256.96558,0.347157098,708.006,1657368351.0,70.0,428426.0,307638.1647634796,5636241.862504868,50751.0,159.09,48256.91604420242,-535.3273950000003,428426
55,55,55.0,50.845815,6.267356667,158.5860852,19.74898469,-1.405542988,-43.89541059,48155.81169,0.271935875,770.158,1657368413.0,70.0,428426.0,307631.43086544785,5636237.658634805,50813.0,159.9,48155.74389113215,-636.4812849999944,428426
56,56,56.0,50.84575833,6.267323333,159.6859694,19.60865677,-0.285538122,-43.97140928,48148.49369,0.273722909,811.2,1657368454.0,70.0,428426.0,307628.8514374405,5636231.445173032,50854.0,159.32,48148.43905104651,-643.7992849999937,428426
57,57,57.0,50.845715,6.267223333,160.8859291,20.10650163,2.351211865,-43.90411726,48350.60338,0.31188044,850.921,1657368494.0,70.0,428426.0,307621.63455294917,5636226.88847021,50894.0,159.42,48350.54623500078,-441.6895949999962,428426
58,58,58.0,50.84568667,6.267126667,157.885923,19.51068772,-0.363377198,-44.34793897,48455.50128,0.300679155,889.042,1657368532.0,70.0,428426.0,307614.7140499415,5636223.990719608,50932.0,159.34,48455.44583632786,-336.7916949999999,428426
59,59,59.0,50.84563167,6.267055,158.2858361,19.13537292,-2.049058545,-43.90544194,47939.65078,0.306355337,930.843,1657368574.0,70.0,428426.0,307609.4433626336,5636218.062801064,50974.0,159.53,47939.59163762593,-852.6421949999931,428426
60,60,60.0,50.84556,6.266988333,158.0857055,19.70024861,-1.298295508,-44.19018816,48402.00506,0.316784594,968.804,1657368612.0,70.0,428426.0,307604.4559907047,5636210.268568866,51012.0,159.73,48401.940789003995,-390.2879149999935,428426
61,61,61.0,50.84550833,6.266923333,156.8856223,19.75877394,-1.037397705,-44.10752422,48348.48529,0.319852342,1006.198,1657368649.0,70.0,428426.0,307599.66824794724,5636204.693502556,51049.0,159.84,48348.4185858204,-443.80768499999976,428426
62,62,62.0,50.84544667,6.266861667,160.1855128,18.992536,-2.025464732,-43.76907806,47756.31256,0.345814986,1045.119,1657368688.0,70.0,428426.0,307595.07404857775,5636197.999112695,51088.0,160.07,47756.24150078731,-1035.9804149999982,428426
63,63,63.0,50.84539139,6.266791296,158.5187576,19.32799277,-1.807167407,-43.88341015,47986.80376,0.359594443,1076.477,1657368720.0,70.0,428426.0,307589.89338269853,5636192.036707046,51120.0,160.25,47986.72829061878,-805.4892149999941,428426
64,64,64.0,50.84531796,6.266729722,159.0686195,19.99099159,-1.104359128,-43.89042631,48244.19191,0.309929038,1108.042,1657368751.0,70.0,428426.0,307585.25719385536,5636184.033553103,51151.0,159.97,48244.122396525054,-548.1010649999953,428426
65,65,65.0,50.84526185,6.266636852,162.5796547,19.93498756,0.410920848,-43.71061957,48044.84079,0.280943308,1142.459,1657368786.0,70.0,428426.0,307578.4894608863,5636178.0375094935,51186.0,160.4,48044.76183590437,-747.4521849999946,428426
66,66,66.0,50.84521472,6.266568426,162.5906958,19.61755009,2.466340276,-44.25254626,48470.52558,0.347443561,1174.571,1657368818.0,70.0,428426.0,307573.47920475376,5636172.976129244,51218.0,160.36,48470.44683929348,-321.7673949999953,428426
67,67,67.0,50.84514833,6.26654,160.7849977,20.08177725,-0.358281713,-44.25830133,48603.88086,0.343907714,1219.945,1657368863.0,70.0,428426.0,307571.2051316841,5636165.669281172,51263.0,160.15,48603.80670875114,-188.41211499999918,428426
68,68,68.0,50.845065,6.266615,162.5847471,19.28430486,-1.559897447,-43.57430562,47680.45147,0.293379843,1261.496,1657368905.0,70.0,428426.0,307576.1411561257,5636156.209607967,51305.0,160.2,47680.37760498983,-1111.8415049999967,428426
69,69,69.0,50.84501833,6.2667,161.1845789,20.06568113,-1.533851903,-44.03270487,48425.040109999994,0.446536806,1298.343,1657368942.0,70.0,428426.0,307581.93195396307,5636150.799566197,51342.0,159.86,48424.97284416206,-367.2528650000022,428426
70,70,70.0,50.84492167,6.266781667,161.2842916,20.13277424,-1.691153833,-43.81120164,48246.76677,0.391743054,1335.966,1657368979.0,70.0,428426.0,307587.2824227284,5636139.840566173,51379.0,160.52,48246.68475791029,-545.5262049999947,428426
71,71,71.0,50.844875,6.266863333,159.0841255,20.41486465,-2.522449866,-42.96201935,47654.129570000005,0.328947427,1394.048,1657369037.0,70.0,428426.0,307592.83858053415,5636134.439224764,51437.0,160.53,47654.04834091299,-1138.163404999992,428426
72,72,72.0,50.84479667,6.266993333,159.5838514,18.97297241,-2.690271916,-44.50177362,48456.1615,0.310211375,1436.347,1657369080.0,70.0,428426.0,307601.6665537519,5636125.3921467345,51480.0,160.44,48456.080957299695,-336.1314749999947,428426
73,73,73.0,50.84475,6.267075,161.4836854,20.02541439,-0.276323983,-43.79251409,48156.2821,0.311269925,1478.862,1657369122.0,70.0,428426.0,307607.2228127732,5636119.990818925,51522.0,160.31,48156.20500355425,-636.0108749999999,428426
74,74,74.0,50.84468667,6.267151667,162.1834822,20.42466294,-0.946201587,-43.87521346,48407.13054,0.303379436,1530.939,1657369174.0,70.0,428426.0,307612.35858932126,5636112.750344678,51574.0,160.57,48407.047115640795,-385.16243499999837,428426
75,75,75.0,50.84463833,6.267238333,162.3833089,20.17815129,2.379873249,-44.03643548,48515.25557,0.392841993,1577.433,1657369221.0,70.0,428426.0,307618.2598685659,5636107.150342619,51621.0,160.33,48515.17744196222,-277.0374049999955,428426
76,76,76.0,50.84457,6.267366667,160.2830601,19.54786649,1.977965525,-44.64321469,48777.18015,0.364514314,1619.186,1657369262.0,70.0,428426.0,307627.01181583176,5636099.219402785,51662.0,160.95,48777.08736015318,-15.11282499999652,428426
77,77,77.0,50.84465833,6.267408333,162.2832473,19.56608238,-1.095141217,-44.86637655,48960.97418,0.324801204,1661.698,1657369305.0,70.0,428426.0,307630.3080356752,5636108.930966555,51705.0,161.68,48960.86421088428,168.68120500000077,428426
78,78,78.0,50.84474667,6.267425,164.5834507,19.6616909,-0.754776079,-44.94030876,49064.72195,0.30110635,1700.898,1657369344.0,70.0,428426.0,307631.8446732345,5636118.708768142,51744.0,162.23,49064.59904113657,272.42897500000254,428426
79,79,79.0,50.84482667,6.267483333,163.0836068,20.51752905,0.49186761,-44.52337303,49027.35492,0.33911174,1739.48,1657369383.0,70.0,428426.0,307636.2797440387,5636127.450826843,51783.0,162.52,49027.2254099374,235.0619450000013,428426
80,80,80.0,50.844915,6.267553426,162.4893312,20.55690844,-0.230848265,-45.02013948,49493.277409999995,0.305051418,1775.804,1657369419.0,70.0,428426.0,307641.57682702225,5636137.088344495,51819.0,162.61,49493.144571719386,700.9844349999985,428426
82,82,82.0,50.84504833,6.267728333,160.1839856,19.31248858,-0.604829414,-45.49880938,49460.05674,0.327153239,1851.656,1657369495.0,70.0,428426.0,307654.4365693473,5636151.45572994,51895.0,162.89,49459.91746988552,667.7637650000033,428426
83,83,83.0,50.84512833,6.267823333,160.884118,19.6361166,1.76285352,-44.63065834,48793.12728,0.3301503,1900.44,1657369544.0,70.0,428426.0,307661.4524499081,5636160.10229968,51944.0,162.71,48792.99402337472,0.8343050000039511,428426
84,84,84.0,50.84519,6.267863333,158.6842416,19.96182951,-2.287699849,-44.3370151,48678.70876,0.326817301,1935.292,1657369579.0,70.0,428426.0,307664.5216326868,5636166.854290586,51979.0,162.56,48678.57925406227,-113.58421499999531,428426
85,85,85.0,50.84526667,6.267941667,162.0843768,19.90746332,0.133129222,-44.89638318,49115.07666,0.314161121,1974.837,1657369618.0,70.0,428426.0,307670.35071597504,5636175.174067367,52018.0,162.57,49114.945761870884,322.78368500000215,428426
86,86,86.0,50.84533833,6.267991667,163.2845181,19.09210611,-3.260015477,-44.52571269,48557.44013,0.334481692,1994.603,1657369638.0,0.0,428426.0,307674.16484191926,5636183.010658645,52038.0,163.53,48557.28876836027,-234.85284499999398,428426
87,87,87.0,50.84545157,6.267919907,164.5959503,19.39945864,1.389595461,-44.98378694,49010.06447999999,0.308926218,2015.647,1657369659.0,70.0,428426.0,307669.5797759305,5636195.787048533,52059.0,162.7,49009.930861681576,217.77150499999698,428426
88,88,88.0,50.84557667,6.267925,162.6851391,19.50563101,-1.016532813,-44.58384656,48680.538179999996,0.385671596,2056.011,1657369699.0,70.0,428426.0,307670.45290984644,5636209.681808467,52099.0,161.62,48680.43021609372,-111.75479500000074,428426
89,89,89.0,50.84567833,6.26806,161.2852981,19.49744083,1.263651991,-44.60158054,48695.858870000004,0.381466791,2099.74,1657369743.0,70.0,428426.0,307680.373236494,5636220.632275023,52143.0,160.94,48695.766464147004,-96.434104999993,428426
90,90,90.0,50.84571954,6.26820213,159.7186393,19.30878481,-1.234108145,-44.17813405,48231.80024,0.29042534,2143.357,1657369787.0,70.0,428426.0,307690.54670861486,5636224.843645761,52187.0,160.74,48231.71325694084,-560.4927349999998,428426
91,91,91.0,50.8457,6.268375,160.3851466,19.18221122,0.843305649,-44.55515851,48518.26335,0.315402873,2179.191,1657369822.0,70.0,428426.0,307702.63394047867,5636222.221085992,52222.0,160.5,48518.181333324734,-274.0296249999956,428426
92,92,92.0,50.845465,6.268848333,158.1842703,20.15639965,-1.430761324,-44.0303269,48447.21097,0.302750792,2230.207,1657369873.0,70.0,428426.0,307734.98345715506,5636194.862368478,52273.0,159.82,48447.14458586106,-345.08200499999657,428426
93,93,93.0,50.84555,6.268963333,162.0844018,19.96715657,-2.237358676,-44.29421332,48639.987069999996,0.255827393,2323.567,1657369967.0,70.0,428426.0,307743.42743106466,5636204.0128469085,52367.0,159.48,48639.92820879112,-152.30590500000108,428426
94,94,94.0,50.84561,6.269053333,160.484489,19.81653562,0.018288497,-43.96857529,48229.547340000005,0.277471276,2367.652,1657370011.0,70.0,428426.0,307750.0089191905,5636210.449043834,52411.0,159.48,48229.48897548079,-562.745634999992,428426
95,95,95.0,50.845695,6.269158333,159.184627,19.55759779,1.425816904,-44.08108444,48248.61826,0.349478553,2407.557,1657370051.0,70.0,428426.0,307757.74898351345,5636219.625579638,52451.0,159.08,48248.56895995995,-543.6747149999937,428426
96,96,96.0,50.84578,6.269101667,162.1848697,19.29529403,-2.656142606,-44.05531142,48172.58442,0.323570038,2447.164,1657370090.0,70.0,428426.0,307754.11003215995,5636229.22300535,52490.0,159.24,48172.5315683557,-619.7085549999974,428426
97,97,97.0,50.84585,6.268975,160.0851215,19.93182708,1.442679099,-44.37781628,48673.42649,0.325590723,2508.972,1657370152.0,70.0,428426.0,307745.4823431412,5636237.335055779,52552.0,159.17,48673.374693191014,-118.86648499999865,428426
98,98,98.0,50.84597667,6.268708333,160.2856013,19.83044349,1.100048992,-44.38988735,48633.23332,0.307710771,2574.132,1657370217.0,70.0,428426.0,307727.2337735352,5636252.111952109,52617.0,158.63,48633.193931965456,-159.0596549999973,428426
99,99,99.0,50.84660667,6.267995,157.5875909,20.12612528,1.04922095,-44.07033882,48463.66267,0.305677756,2634.037,1657370277.0,70.0,428426.0,307679.617242869,5636324.010018396,52677.0,156.75,48463.666321230005,-328.63030499999877,428426
100,100,100.0,50.84634519,6.268381852,157.4811507,20.3082389,1.678396777,-44.39832241,48853.03666,0.335226346,3014.172,1657370657.0,70.0,428426.0,307705.7700868129,5636293.932419275,53057.0,156.97,48853.03527978811,60.74368500000128,428426
101,101,101.0,50.84615333,6.268736667,159.0860112,20.43342476,1.902634403,-44.04237584,48590.54631,0.281553,3115.748,1657370759.0,70.0,428426.0,307729.9546380987,5636271.678401163,53159.0,156.91,48590.54631,-201.74666499999876,428426
102,102,102.0,50.84597102,6.269133981,158.3408674,19.45399554,0.268791008,-44.19171175,48286.67412,0.29808691,3175.399,1657370819.0,70.0,428426.0,307757.1699835532,5636250.375581238,53219.0,157.08,48286.67025473616,-505.61885499999335,428426
103,103,103.0,50.845825,6.269503241,158.6791631,19.64465711,1.461827261,-44.34633413,48527.75378,0.30743866,3229.344,1657370873.0,70.0,428426.0,307782.56015845755,5636233.180487602,53273.0,157.12,48527.74898142366,-264.53919499999756,428426
104,104,104.0,50.84574,6.269746667,157.7843549,20.10017294,1.120757791,-43.98562965,48377.72397,0.356148917,3284.569,1657370928.0,70.0,428426.0,307799.34442014154,5636223.096958427,53328.0,157.1,48377.71964185341,-414.56900499999756,428426
105,105,105.0,50.84562,6.269771667,158.9840479,21.96123229,1.93535175,-42.48548088,47877.18337,0.710592571,3350.644,1657370994.0,70.0,428426.0,307800.6107240363,5636209.690851771,53394.0,157.27,47877.17525415025,-915.1096049999978,428426
106,106,106.0,50.84577333,6.269695,156.9900247,18.78773989,-3.217242566,-44.44368417,48391.20227,0.354346845,3407.044,1657371050.0,70.0,428426.0,307795.84482392005,5636226.9369137185,53450.0,157.09,48391.19816850823,-401.09070499999507,428426
